date,load_mw_daily_mean,temp_c_mean,temp_c_min,temp_c_max,precip_mm_sum,wind_ms_mean,rh_pct_mean,weekday,month,year,is_weekend
2021-09-22,6774.104166666667,12.35,9.1,15.9,0.0,9.133333333333333,61.583333333333336,2,9,2021,0
2021-09-23,6886.208333333333,11.716666666666667,8.1,15.7,0.0,6.754166666666666,66.70833333333333,3,9,2021,0
2021-09-24,6847.385416666667,13.8125,7.3,21.4,0.0,13.858333333333334,64.79166666666667,4,9,2021,0
2021-09-25,6146.239583333333,16.8625,11.1,23.1,0.0,6.454166666666667,63.875,5,9,2021,1
2021-09-26,5642.479166666667,17.941666666666666,11.1,25.5,0.0,7.670833333333333,62.166666666666664,6,9,2021,1
2021-09-27,6542.0,18.583333333333332,12.9,25.0,0.0,10.200000000000001,62.5,0,9,2021,0
2021-09-28,6749.03125,15.491666666666667,12.6,18.7,1.2000000000000002,16.075,80.58333333333333,1,9,2021,0
2021-09-29,6818.541666666667,13.65,11.4,17.6,1.7,12.866666666666667,68.08333333333333,2,9,2021,0
2021-09-30,6819.083333333333,13.579166666666666,8.9,17.8,0.0,11.345833333333333,66.66666666666667,3,9,2021,0
2021-10-01,6650.052083333333,12.070833333333333,7.2,17.4,0.0,9.450000000000001,60.125,4,10,2021,0
2021-10-02,6156.208333333333,11.158333333333333,6.4,17.0,0.0,9.258333333333333,64.66666666666667,5,10,2021,1
2021-10-03,5605.9375,11.4,5.1,18.4,0.0,6.4875,66.58333333333333,6,10,2021,1
2021-10-04,6598.65625,12.308333333333332,7.1,18.6,0.0,6.9750000000000005,75.0,0,10,2021,0
2021-10-05,6695.572916666667,12.904166666666667,7.9,18.2,0.0,12.020833333333334,63.916666666666664,1,10,2021,0
2021-10-06,6790.989583333333,12.304166666666667,7.5,17.4,0.0,14.725,66.16666666666667,2,10,2021,0
2021-10-07,7013.0625,11.270833333333334,8.6,14.6,0.0,21.55,67.66666666666667,3,10,2021,0
2021-10-08,7060.461979166666,9.5625,7.8,11.4,3.5,24.037499999999998,56.208333333333336,4,10,2021,0
2021-10-09,6509.854166666667,8.829166666666667,7.0,11.1,3.3,22.758333333333336,64.20833333333333,5,10,2021,1
2021-10-10,5975.625,10.0875,7.1,13.9,0.0,16.904166666666665,45.833333333333336,6,10,2021,1
2021-10-11,7047.427083333333,10.35,7.2,14.4,3.6999999999999997,15.15,61.875,0,10,2021,0
2021-10-12,7139.5,10.741666666666667,9.2,12.8,4.5,9.620833333333334,81.875,1,10,2021,0
2021-10-13,7227.288125,10.141666666666667,9.4,10.9,3.3,5.316666666666666,92.08333333333333,2,10,2021,0
2021-10-14,7163.227916666667,8.841666666666667,7.8,9.8,15.9,14.445833333333333,90.625,3,10,2021,0
2021-10-15,7215.791666666667,8.908333333333333,7.4,10.2,6.6,21.083333333333332,90.5,4,10,2021,0
2021-10-16,6649.670625,10.279166666666667,9.6,11.6,15.1,19.599999999999998,89.91666666666667,5,10,2021,1
2021-10-17,6029.40625,10.416666666666666,8.0,13.6,0.7000000000000001,7.670833333333333,86.5,6,10,2021,1
2021-10-18,7034.467604166667,10.920833333333334,7.8,14.6,0.30000000000000004,7.829166666666667,86.25,0,10,2021,0
2021-10-19,7022.764895833334,11.195833333333333,7.1,15.6,0.8,6.229166666666667,75.16666666666667,1,10,2021,0
2021-10-20,7002.083333333333,10.095833333333333,4.4,16.6,0.0,8.566666666666666,81.125,2,10,2021,0
2021-10-21,7035.96875,11.270833333333334,4.7,19.0,0.0,10.041666666666666,78.91666666666667,3,10,2021,0
2021-10-22,6935.230833333334,14.200000000000001,9.6,20.6,0.0,12.166666666666666,77.33333333333333,4,10,2021,0
2021-10-23,6359.072916666667,14.541666666666666,10.4,19.4,0.1,6.991666666666667,78.66666666666667,5,10,2021,1
2021-10-24,5854.979166666667,11.674999999999999,9.2,14.2,1.6,10.016666666666667,63.666666666666664,6,10,2021,1
2021-10-25,6920.8671875,7.679166666666667,4.2,11.1,0.0,8.770833333333334,63.166666666666664,0,10,2021,0
2021-10-26,6959.19625,7.079166666666667,1.2,12.5,0.0,7.6125,76.25,1,10,2021,0
2021-10-27,7079.008437500001,7.958333333333333,2.2,14.9,0.0,5.970833333333334,81.83333333333333,2,10,2021,0
2021-10-28,7161.645833333333,9.012500000000001,2.2,15.6,0.0,4.591666666666667,69.125,3,10,2021,0
2021-10-29,7098.854166666667,8.5375,2.3,15.9,0.0,6.391666666666667,78.16666666666667,4,10,2021,0
2021-10-30,6484.520833333333,9.120833333333334,4.7,13.4,0.1,9.975,84.0,5,10,2021,1
2021-10-31,5955.306874999999,10.966666666666667,8.4,14.1,0.0,6.645833333333333,72.125,6,10,2021,1
2021-11-01,6975.958333333333,10.666666666666666,7.8,14.4,5.3999999999999995,6.3999999999999995,86.29166666666667,0,11,2021,0
2021-11-02,7224.822916666667,9.445833333333333,7.2,12.7,0.7,7.075,94.04166666666667,1,11,2021,0
2021-11-03,7161.46875,10.908333333333333,7.4,17.0,0.0,11.933333333333332,87.08333333333333,2,11,2021,0
2021-11-04,7006.927083333333,12.429166666666667,7.3,19.7,0.0,6.916666666666667,86.04166666666667,3,11,2021,0
2021-11-05,6954.90625,14.745833333333332,8.9,22.5,0.0,5.745833333333334,82.20833333333333,4,11,2021,0
2021-11-06,6431.895833333333,12.858333333333334,9.6,17.0,0.0,8.9625,80.5,5,11,2021,1
2021-11-07,5913.875,11.545833333333334,8.8,15.1,0.0,6.645833333333333,79.70833333333333,6,11,2021,1
2021-11-08,6844.65625,12.362499999999999,8.2,18.7,0.2,7.541666666666667,84.25,0,11,2021,0
2021-11-09,7337.6875,7.325,3.7,9.9,14.7,13.387500000000001,90.08333333333333,1,11,2021,0
2021-11-10,7292.604166666667,4.5375,1.5,8.1,0.0,8.170833333333333,82.58333333333333,2,11,2021,0
2021-11-11,7331.083333333333,4.133333333333334,-0.9,10.6,0.0,6.504166666666666,82.83333333333333,3,11,2021,0
2021-11-12,7335.53125,4.841666666666667,-0.3,11.3,0.0,4.754166666666666,88.875,4,11,2021,0
2021-11-13,6825.041666666667,5.108333333333333,1.2,9.0,0.0,8.879166666666666,90.0,5,11,2021,1
2021-11-14,6066.354166666667,8.608333333333333,4.2,11.8,0.0,5.733333333333333,86.91666666666667,6,11,2021,1
2021-11-15,7289.604166666667,8.225,3.8,11.3,0.30000000000000004,12.229166666666666,85.29166666666667,0,11,2021,0
2021-11-16,7427.416666666667,6.420833333333333,4.3,9.1,0.0,15.683333333333335,75.375,1,11,2021,0
2021-11-17,7524.71875,5.879166666666666,4.1,8.6,0.0,6.816666666666666,72.41666666666667,2,11,2021,0
2021-11-18,7539.25,5.641666666666667,1.5,11.2,0.0,7.641666666666667,82.41666666666667,3,11,2021,0
2021-11-19,7483.6875,7.408333333333334,4.9,10.6,0.1,9.545833333333333,77.45833333333333,4,11,2021,0
2021-11-20,6789.802083333333,8.791666666666666,5.2,14.8,0.0,9.004166666666666,78.125,5,11,2021,1
2021-11-21,6271.21875,6.716666666666666,2.8,12.6,0.0,8.1875,88.29166666666667,6,11,2021,1
2021-11-22,7379.052083333333,6.958333333333333,2.4,12.9,0.0,7.904166666666666,82.91666666666667,0,11,2021,0
2021-11-23,7574.479166666667,7.066666666666666,5.6,9.1,2.2,10.108333333333333,82.45833333333333,1,11,2021,0
2021-11-24,7572.510416666667,4.979166666666667,1.6,8.4,0.0,5.7375,77.95833333333333,2,11,2021,0
2021-11-25,7147.25,2.8625000000000003,-0.8,8.8,0.0,6.8,81.625,3,11,2021,0
2021-11-26,7681.6875,3.266666666666666,-2.0,9.7,0.30000000000000004,8.358333333333333,89.79166666666667,4,11,2021,0
2021-11-27,6974.645833333333,5.858333333333333,0.8,13.8,0.0,7.966666666666666,88.0,5,11,2021,1
2021-11-28,6269.635416666667,7.3125,1.4,14.6,0.4,7.454166666666667,87.33333333333333,6,11,2021,1
2021-11-29,7253.125,8.362499999999999,4.7,10.9,6.0,12.654166666666667,86.91666666666667,0,11,2021,0
2021-11-30,6828.75,3.516666666666667,1.4,4.8,3.0,13.3125,83.66666666666667,1,11,2021,0
2021-12-01,6998.96875,4.604166666666667,1.2,9.2,0.0,19.216666666666665,65.33333333333333,2,12,2021,0
2021-12-02,7539.125,4.895833333333333,0.4,9.9,0.0,7.670833333333333,76.29166666666667,3,12,2021,0
2021-12-03,7670.135416666667,5.641666666666667,0.1,12.1,0.9,8.108333333333333,81.91666666666667,4,12,2021,0
2021-12-04,7107.854166666667,2.4125,1.1,3.8,4.9,11.741666666666667,88.5,5,12,2021,1
2021-12-05,6586.729166666667,3.6875,2.1,6.6,0.0,6.1375,89.04166666666667,6,12,2021,1
2021-12-06,7670.052083333333,5.0875,0.6,10.8,0.0,8.916666666666666,91.875,0,12,2021,0
2021-12-07,8007.057708333334,4.95,3.2,7.2,8.2,8.125,97.04166666666667,1,12,2021,0
2021-12-08,8048.597916666667,3.9875000000000003,2.8,4.7,17.3,10.720833333333333,93.54166666666667,2,12,2021,0
2021-12-09,8037.579791666667,1.8458333333333332,-1.9,6.5,0.0,9.9,89.79166666666667,3,12,2021,0
2021-12-10,7906.75,5.758333333333333,1.6,10.9,7.0,8.9625,95.29166666666667,4,12,2021,0
2021-12-11,7350.041666666667,6.641666666666667,3.2,10.4,4.9,13.8375,94.83333333333333,5,12,2021,1
2021-12-12,6687.916666666667,9.65,5.3,12.4,6.2,17.916666666666668,83.54166666666667,6,12,2021,1
2021-12-13,7848.364583333333,3.858333333333333,2.9,4.9,1.4000000000000001,8.404166666666667,86.16666666666667,0,12,2021,0
2021-12-14,7879.28125,3.35,2.6,4.2,0.30000000000000004,6.3374999999999995,82.29166666666667,1,12,2021,0
2021-12-15,8094.15625,3.025,1.2,4.5,0.1,5.6375,90.875,2,12,2021,0
2021-12-16,8114.416666666667,1.8499999999999999,-0.4,3.7,0.5,6.7749999999999995,93.29166666666667,3,12,2021,0
2021-12-17,7920.25,2.0458333333333334,-0.7,6.8,2.2,6.95,90.58333333333333,4,12,2021,0
2021-12-18,7337.364583333333,0.9833333333333333,-1.9,4.6,0.1,6.070833333333333,86.625,5,12,2021,1
2021-12-19,6167.46875,0.47083333333333327,-2.9,4.6,0.0,11.475,86.5,6,12,2021,1
2021-12-20,7181.375,-0.06666666666666665,-4.6,5.1,6.4,10.1,87.20833333333333,0,12,2021,0
2021-12-21,8091.302083333333,-2.4125,-5.8,1.4,0.4,9.791666666666666,76.04166666666667,1,12,2021,0
2021-12-22,8028.6875,-4.2875000000000005,-7.2,1.1,0.0,7.341666666666666,77.75,2,12,2021,0
2021-12-23,7949.5625,-3.533333333333333,-6.1,0.1,0.0,7.516666666666667,71.375,3,12,2021,0
2021-12-24,7202.65625,0.8875000000000001,-5.6,5.6,0.0,16.720833333333335,69.04166666666667,4,12,2021,0
2021-12-25,5838.28125,8.079166666666667,3.2,13.4,0.0,17.583333333333332,71.5,5,12,2021,1
2021-12-26,6190.010416666667,1.3791666666666667,-0.8,5.9,0.5,14.170833333333334,89.95833333333333,6,12,2021,1
2021-12-27,6941.78125,-0.6125,-1.2,0.6,8.4,16.25,93.41666666666667,0,12,2021,0
2021-12-28,7278.541666666667,-0.033333333333333326,-1.1,2.2,0.3,4.558333333333334,92.70833333333333,1,12,2021,0
2021-12-29,7237.1875,-1.1916666666666667,-2.0,0.3,3.9,8.329166666666667,86.75,2,12,2021,0
2021-12-30,7197.625,-0.12916666666666668,-1.2,0.5,4.2,9.016666666666667,95.33333333333333,3,12,2021,0
2021-12-31,6614.886979166667,2.4666666666666663,-0.4,4.8,0.0,13.183333333333332,95.33333333333333,4,12,2021,0
2022-01-01,5606.5625,5.783333333333334,1.5,11.0,1.7000000000000002,8.191666666666666,94.0,5,1,2022,1
2022-01-02,5779.59375,4.666666666666667,1.4,9.8,0.0,8.883333333333333,91.91666666666667,6,1,2022,1
2022-01-03,7069.34375,7.166666666666667,2.0,11.8,0.0,15.541666666666666,80.58333333333333,0,1,2022,0
2022-01-04,7199.916666666667,6.445833333333333,2.2,12.0,0.0,10.758333333333333,78.75,1,1,2022,0
2022-01-05,7269.989583333333,7.066666666666666,3.2,13.4,0.0,12.216666666666667,81.875,2,1,2022,0
2022-01-06,7222.708333333333,6.341666666666666,0.4,13.6,0.0,11.2125,82.79166666666667,3,1,2022,0
2022-01-07,7289.322916666667,2.5541666666666667,1.0,4.4,0.8999999999999999,11.200000000000001,79.75,4,1,2022,0
2022-01-08,7075.072916666667,1.8458333333333332,0.9,3.0,3.5,13.9375,85.79166666666667,5,1,2022,1
2022-01-09,6520.75,4.504166666666666,1.9,6.7,0.6000000000000001,5.704166666666667,97.41666666666667,6,1,2022,1
2022-01-10,7724.615729166667,3.795833333333333,2.2,4.7,4.0,21.766666666666666,87.29166666666667,0,1,2022,0
2022-01-11,8030.320520833334,-0.6583333333333333,-3.0,1.7,0.0,23.695833333333336,62.75,1,1,2022,0
2022-01-12,8137.792916666666,-3.0,-4.2,-0.1,0.0,10.458333333333334,67.45833333333333,2,1,2022,0
2022-01-13,8146.71875,-2.8208333333333333,-5.3,1.5,0.0,10.225,81.33333333333333,3,1,2022,0
2022-01-14,7984.8125,-0.34583333333333327,-4.1,6.3,0.0,15.566666666666668,75.33333333333333,4,1,2022,0
